Branch;WHSE;GRP;Code;Description;OH;OnSO;OnPO;AVGCost;Value;Stk Fctr B3 Max;LastGRVDate;LastTransDate;B3Max;GRP Sales;Branch#1;B#1OH;B#1Sales;Branch#2;B#2OH;B#2sales;Branch#3;B#3OH;B#3sales
Wadeville;Wad_MW;CS;SOTDREIN52/132;C/Suit Trouser Denim Reinf C/H S/Orr AGP S52/132 14N69M0466 PA-19082 V01   2402584;4;0;0;R456,00;R1 824,00;99,0;2025/02/18;2025/02/27;0,0;0,0;Wadeville;4;0;;;;;;
Wadeville;Wad_MW;GUM;GSW05;Gumshoe Neptun Shova NSTC White/Grey Resis S05 Oil/Acid VWG25SH;10;0;0;R182,00;R1 820,00;99,0;2024/07/15;2026/03/16;0,0;30,0;Polokwane;4;26;Bloemfontein;0;3;Potchefstroom;0;1
Wadeville;Wad_MW;MB;MBGOCSKHJ5450;MB C/Suit Gold Range J54 Khaki S50/127  ;7;0;0;R260,00;R1 820,00;99,0;2021/06/11;;0,0;;;;;;;;;;
Wadeville;WadSerNDCen_MW;MB;AM0212222;MB B/Suit D59 Royal Blue S87/34  A1ANG406B59-87/34   9000001439;6;0;0;R303,27;R1 819,63;99,0;;;0,0;;;;;;;;;;
Wadeville;Wad_MW;EYE;SEBENZASM;S/Spec Sebenza Smoke/Grey Lens A/Fog VSS9160-PB  ;107;0;0;R16,94;R1 812,58;99,0;;2018/02/19;0,0;;;;;;;;;;
Wadeville;Wad_MW;DUPO;D15441654;D15441654 Tyvek 800J White CHA5 Type 3B S Protective Chemical Suit 25/Box;20;0;0;R90,00;R1 800,00;99,0;2020/11/05;;0,0;;;;;;;;;;
Wadeville;Wad_MW;MB;MBGOCSRBJ54REF48;MB C/Suit Gold Range J54 R/Blue C/W Refl S48/122  ;6;2;10;R299,90;R1 799,42;99,0;2024/11/13;2024/08/14;0,0;54,0;Middelburg;0;30;Bloemfontein;9;13;Steelpoort;0;11
Wadeville;Wad_MW;BOOT;GFBBSLATE306;Safety Boot Grittgear Slate3 Blk Kevlar MS STC S06  ;2;0;0;R895,00;R1 790,00;99,0;2025/08/11;;0,0;;;;;;;;;;
Wadeville;Wad_MW;CS;SOJJ54L52/132;C/Suit Jacket J54 Ladies Navy S/Orr AGP S52/132 2402707;5;0;0;R356,00;R1 780,00;99,0;2024/04/16;2023/12/21;0,0;;;;;;;;;;
Wadeville;Wad_MW;MB;MBGOCSJKTD48;MB C/Suit Gold Range Jacket Denim 12Oz S48/122  ;13;0;10;R135,01;R1 755,17;17,3;;2026/01/13;1,3;9,0;Wadeville;13;5;Potchefstroom;0;4;;;
