;;;;Sales Analysis;;;;;;;;
Pienaar Bros North (Pty) Ltd;;;;;;;;;;;;
From:;01/01/2026;;;;;;;;;;;
To:;02/04/2026;;;;;;;;;;;
Sales Analysis Report;;;;;;;;;;Page 1 of 489;;
Item/Account;Description/Name;;TxDate;InvNum;Account;Unit Cost;Unit SellP;Quantity;Amount;Line Cost;Profit;GP %
;;;;;;;;;;;;
GSH13709;Gumboot Stimela Black/Grey+STC+Metatarsal S09;;05/01/2026;010-CRN04157;SERI001_TVL;291;420,00;-10;-4 200,00;-2 910,00;-1 290,00;0,00
GSH137W08;Gumboot Stimela+STC+Metatarsal+W/Calf S08;;05/01/2026;010-CRN04157;SERI001_TVL;393,7;328,00;-2;-655,90;-787,40;131,50;0,00
R909CLB A29 ANGLO;Safety Cap Rhino W/Lamp Bracket White & Ratchet;;05/01/2026;010-CRN04157;SERI001_TVL;41,48;54,00;-40;-2 158,00;-1 659,20;-498,80;0,00
SC3322;Socks Wool Cold Room Miners Grey Long 5005;;05/01/2026;010-CRN04157;SERI001_TVL;18,5;19,00;-60;-1 155,00;-1 110,00;-45,00;0,00
SC3322;Socks Wool Cold Room Miners Grey Long 5005;;05/01/2026;010-CRN04157;SERI001_TVL;18,5;19,00;-40;-770,00;-740,00;-30,00;0,00
Sage 200 Evolution (Registered to Brian Pienaar North (Pty) Ltd);;;;;;;;;04/04/2026 18:43:19;;;
Sales Analysis Report;;;;;;;;;;Page 2 of 489;;
Item/Account;Description/Name;;TxDate;InvNum;Account;Unit Cost;Unit SellP;Quantity;Amount;Line Cost;Profit;GP %
;;;;;;;;;;;;
UPBL;Underwear Thermal Long Johns Black L;;05/01/2026;010-CRN04157;SERI001_TVL;80,14;94,00;-6;-561,00;-480,84;-80,16;0,00
UPBL;Underwear Thermal Long Johns Black L;;05/01/2026;010-CRN04157;SERI001_TVL;80,14;94,00;-8;-748,00;-641,12;-106,88;0,00
UPBXL;Underwear Thermal L/Johns Mens Interlock Black XL;;05/01/2026;010-CRN04157;SERI001_TVL;80,14;94,00;-4;-374,00;-320,56;-53,44;0,00
LOVEB2XL;Underwear Thermal Vest Men Long Sleeve Black 2XL;;05/01/2026;010-CRN04157;SERI001_TVL;84,87;99,00;-8;-791,92;-678,96;-112,96;0,00
LOVEBL;Underwear Thermal Vest Mens Long Sleeve Black L;;05/01/2026;010-CRN04157;SERI001_TVL;80,14;94,00;-4;-374,00;-320,56;-53,44;0,00
LOVEBM;Underwear Thermal Vest Mens Long Sleeve Black M;;05/01/2026;010-CRN04157;SERI001_TVL;80,14;94,00;-8;-748,00;-641,12;-106,88;0,00
LOVEBXL;Underwear Thermal Vest Mens Long Sleeve Black XL;;05/01/2026;010-CRN04157;SERI001_TVL;80,14;94,00;-4;-374,00;-320,56;-53,44;0,00
LOVEBXL;Underwear Thermal Vest Mens Long Sleeve Black XL;;05/01/2026;010-CRN04157;SERI001_TVL;80,14;94,00;-4;-374,00;-320,56;-53,44;0,00
AM0212253;MB B/Suit D59 Yellow S127/50 ;;05/01/2026;010-INV179102;SERI001_TVL;362,25;415,00;6;2 490,00;2 173,50;316,50;12,71
AM0212253;MB B/Suit D59 Yellow S127/50 ;;05/01/2026;010-INV179102;SERI001_TVL;362,25;415,00;12;4 980,00;4 347,00;633,00;12,71
AM0212256;MB B/Suit D59 Yellow S142/56 ;;05/01/2026;010-INV179102;SERI001_TVL;414;475,00;6;2 850,00;2 484,00;366,00;12,84
FBB811507;Safety Boot Lemaitre Zeus STC Black S07 ;;05/01/2026;010-INV179102;SERI001_TVL;636,24;735,00;3;2 205,00;1 908,72;296,28;13,44
FBB811508;Safety Boot Lemaitre Zeus STC Black S08 ;;05/01/2026;010-INV179102;SERI001_TVL;627,6;735,00;3;2 205,00;1 882,80;322,20;14,61
FBB811509;Safety Boot Lemaitre Zeus STC Black S09 ;;05/01/2026;010-INV179102;SERI001_TVL;623,17;735,00;3;2 205,00;1 869,51;335,49;15,21
7710F09;Glove Uvex Unilite Full Nitrile Blue/Black S09/L;;05/01/2026;010-INV179102;SERI001_TVL;44,89;52,00;690;35 707,50;30 974,10;4 733,40;13,26
7710F08;Glove Uvex Unilite Full Nitrile Blue/Black S08/M;;05/01/2026;010-INV179102;SERI001_TVL;45,87;52,00;630;32 602,50;28 898,10;3 704,40;11,36
7710F10;Glove Uvex Unilite Full Nitrile Blue/Black S10/XL;;05/01/2026;010-INV179102;SERI001_TVL;45,49;52,00;460;23 805,00;20 925,40;2 879,60;12,10
